prompt,label,label2
"Can I send an email, please?",Email Delivery,Email Request
I'd like to compose an email.,Email Delivery,Email Request
I need to send an email.,Email Delivery,Email Request
Could you help me write an email?,Email Delivery,Email Request
Is it possible to send an email with you?,Email Delivery,Email Request
Let's write an email.,Email Delivery,Email Request
Time to send an email.,Email Delivery,Email Request
I want to email someone.,Email Delivery,Email Request
Open email for writing.,Email Delivery,Email Request
Compose a new message.,Email Delivery,Email Request
I have an email to send.,Email Delivery,Email Request
There's someone I need to email.,Email Delivery,Email Request
I want to get in touch with [someone] through email.,Email Delivery,Email Request
Could you draft an email for me?,Email Delivery,Email Request
I need to send an email about [topic].,Email Delivery,Email Request
Time to send a quick email.,Email Delivery,Email Request
Let's shoot someone an email.,Email Delivery,Email Request
I have an important email to write.,Email Delivery,Email Request
Is there a way to email [someone]?,Email Delivery,Email Request
Can you help me send an email regarding [topic]?,Email Delivery,Email Request
I need to drop someone a line.,Email Delivery,Email Request
Let's ping someone with an email.,Email Delivery,Email Request
Time to fire off an email.,Email Delivery,Email Request
Is it cool if I send an email?,Email Delivery,Email Request
Can you whip up an email for me?,Email Delivery,Email Request
I could use an email assistant right now.,Email Delivery,Email Request
Let's get in touch electronically.,Email Delivery,Email Request
"I wanna send an email, yo.",Email Delivery,Email Request
"Can you help me send an email, buddy?",Email Delivery,Email Request
Mind helping me out with an email?,Email Delivery,Email Request
"Start a new email, please.",Email Delivery,Email Request
Let's create a new email message.,Email Delivery,Email Request
Activate email composition mode.,Email Delivery,Email Request
"Open the email writer, please.",Email Delivery,Email Request
Can you initiate a new email for me?,Email Delivery,Email Request
I'd like to access the email composer.,Email Delivery,Email Request
Guide me through composing an email.,Email Delivery,Email Request
Help me get started with a new email.,Email Delivery,Email Request
Take me to the email writing section.,Email Delivery,Email Request
Begin a new email draft.,Email Delivery,Email Request
I need to send a quick thank you email.,Email Delivery,Email Request
Can you help me write a birthday email?,Email Delivery,Email Request
Let's draft a work email together.,Email Delivery,Email Request
I have a complaint to send via email.,Email Delivery,Email Request
Is it possible to write an email invitation?,Email Delivery,Email Request
Help me compose an email apology.,Email Delivery,Email Request
Can you guide me through writing a meeting email?,Email Delivery,Email Request
I need to send a follow-up email.,Email Delivery,Email Request
Let's write an email for feedback.,Email Delivery,Email Request
Is there a way to draft a resignation email?,Email Delivery,Email Request
Is sending an email an option?,Email Delivery,Email Request
Could I possibly send an email with your help?,Email Delivery,Email Request
Would it be alright to compose an email now?,Email Delivery,Email Request
